ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 2497, 'Screen Height': 1334, 'Usable Screen Width': 2497, 'Usable Screen Height': 1334, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",5e067e60b345fe1bf0f4afe2f1b55b1e69995f86479765ad620a484d36c80d4a,58a98255374c80a33d347d1a2c418dc8a49bf178169e66cb3d92843d0f0b88e8,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,e9146795b553369e25bd9220f2c6a265e9f3c12f8c2c6db8e1a03edf1e452221,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'yd1iRnb': 'f2bVSRQv2EpUSJj', 'Online PDF and PS Renderer': 'T0DgQIEKNOPufuAny4cWToUSJjRnTRQn', 'Pq899HqV': 't1DgYrVxgvXTwBAA', 'OpenSource portable-document-format ': 'laVSJr0asWyhQIEKNOPm6laVKs9mTRQv'}",760909e62221d41f0d7ae157c72e773afd41be4a471ac97055060d1ac83da01d,95071046c0862fb7e4ad026b9bce1f9aaf408338e090c8025368d72b00cc4354
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2496, 'Screen Height': 1333, 'Usable Screen Width': 2496, 'Usable Screen Height': 1333, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",5fbbb2287cec18e16f36184637317ad94902aa181132f26c779af28295bd8959,f85719e09535216392eb42c27a4ab0491d39c62a32f730a66601ebb2d74b3936,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b57db35b2d1530a25a6569d153a64b3484fea027f033e8b68935cc5b08793275,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'i47d1iZ': 'xkxBAAAIr8HiwYU', 'JavaScript doc Viewer': 'MGiwgvXToUKs9eu2Eh3Epct9mTJr8999', 'doc plug-in': 'SoUKkaVKs9e2jwYUp78euAn6lSoUSRIE', 'kSoc1a0D': 'yZrdWLNGqdWToc1a'}",c7572a08de21474b421e494ade3ea9c4f4eb5bb0b4910ed700151138ac0c0018,fc15447638cd2e7e15cf0cfbf1abb151fe371008653ab57e6d78067d702be237
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '1 GB', 'Screen Width': 2498, 'Screen Height': 1336, 'Usable Screen Width': 2498, 'Usable Screen Height': 1336, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",ca74d224c9e831f366608c14a65f7c94a90845fa449e91dc8e8a3c3f4b22319b,c0fcf84dca8498775a01b4531f36c51104f67fce7fd939e5299234ea79772f69,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,9420c3d39e06786fa6d34bc52864d1fe332c34d0004aa89bb9ffde4375103bdf,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Online Portable Document Format plug in': 'XToUSRQnbsePPmyCBn6d1a0DgQIMlx3j', 'Online PDF Viewer': '6d1aseXyZrVpzZzCJMteXyZz4cOmyCBn', 'i4FKFh3': 'Hm6laNteXq0iZUx', 'yhYzCJMt': '47dt1DgYzCBfPPmy'}",524fd58c834a5db2450f30603a40c18d1eb0e829ad02a3195f6f3f575cd7f499,3d06f5f067464bd440b7586d192e6a346024e63a6bd98d5f8c1ace5818fcbe51
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '2 GB', 'Screen Width': 2494, 'Screen Height': 1332, 'Usable Screen Width': 2494, 'Usable Screen Height': 1332, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",e0eb758ca7eee2a89baf24aa216b7500cb7a219e4fea0de9eec6720f352041c2,deb93fcc2390dcdc9bc6e528e915b4b1d493c215883d229e883cf993ec0df2d8,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,ec1ad553dc46d3308a8d63611788cab6c2752cc53a264b6d402d59537a2c6652,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Chrome PDF and PS ': '5cOuXLFhvf2jwYMGiwgvXTwBAIjZUp7G', 'VSJr8HqV': 'KFhvf2j47lSwBIr0', 'j899Hiw': 'i4FCozZz4cWToUS', 'Web PDF and PS Display': 'uj4FCo78e2bNtWyhQQvAny4cWToUKkSo'}",da9ecb664141048769c47e4f8fba2bedfc67bf8c56585d0bd5607ab8d6b65b15,441ec8c39c7cc2d6f29ac6a1755025ff7044f768229420c20becc09572a79389
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 2494, 'Screen Height': 1338, 'Usable Screen Width': 2494, 'Usable Screen Height': 1338, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",635107f7d7fddcb1e150ec47b9b7295253699c75cb96c473b0104e11974c325b,d07b6ceb95d93b110b141bcf5c96600fc77e33bbbae058ca4ee3d57eada6ab12,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5a345f10faca76c58d33212938ad937252fc702488470d68c500e3e1f903d6a9,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Hm6d1as': 'gzhQIMlx3bNlx3j', 'OpenSource doc Renderer': '7d1iRvAfXyZrVxYUxg368euAn6lSoUSJ', 'Chromium com.adobe.pdf Plugin': 'Ml5cWLFhvf2j47dt9e2jwg3EpUSRQnTR', 'hvf2j4FK': 'lx3bNtWyZzCJMl5c'}",5b4186e0f04d36a5a0052c530623e86a03abc607b346072b2cace4c51e8af94e,d08daf16b3ee50576e5284e91b4be4eec2780b262e39242012136f1c8353c762
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2491, 'Screen Height': 1334, 'Usable Screen Width': 2491, 'Usable Screen Height': 1334, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",6a0d64a92bc6ae26b6b50a633ec6d69a85d65b0579798edc3b9b9d91457d7754,6e340fbe271baedd5850501d52f619b29f046e1e09a618a0829efcc7344904f4,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,86d8af9abe357d39b01ae5e3f24b77d35a57c30b84f3ba4db96c97a9efcf250a,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Jr0iRnb0': 'QnbsWyZz4cOmyCJE', 'PDF plug-in': 'JjZMGqVp7GDBn6laNl5k5cOm6laVKs15', 'IMtWyhY': 'eu268e2bNlx3j4F', 'Online PDF Plugin': 'pUKkSoct9euAnyCBn6d1aseXq899999H'}",6407f05564fdddc30e0fec7f2015b40707708620da65e6493507d113e5c53134,3a237ed5e34b468e3e2ae5ea918f2d0e7addc531d953ab2a59bc55bd2f9685a2
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '8 GB', 'Screen Width': 2495, 'Screen Height': 1332, 'Usable Screen Width': 2495, 'Usable Screen Height': 1332, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",4ccdca15f7d5da43468f0662bb693db89cd4aef817172582ac615981ea880a68,904a1b71c9a0cb529e86f607ddfefae670f2238ad5a00a17ed5a8b09e63eedb5,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6cd074e1025fd0ecf2b20facee60e3f51110690785d829b944c27798c531bcea,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Browser PDF and PS Viewer': 'o7GLkSwBIjZUp7GDBn6d1a0DgQIECgQI', 'Web doc Display': 'JECozhQIECozhQQnTRIMtWyhQQv268e2', 'x3jwYMO': 'wgvfu268mb0Do78', '47dt157d': 'hUKs157d1iZMGi4F'}",b5d0928dda336a26ff5e18d6e8fee05ce6bfaa3d1f06e427e88b44ec50ac19b2,25a94e223f931ddbde3c86c505ff60e967b08bb8c2ec67a8ff3a847bbfd32d1d
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2492, 'Screen Height': 1340, 'Usable Screen Width': 2492, 'Usable Screen Height': 1340, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",9be29c33e929c063ac38689a719be6123f199ab8a39b338db2afbfe0243bcad4,0c1101dae0f6f1b90095ee5e78b3cea2cdec2575df48b14ffff8769f00d99cae,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,37a20b925fb1a6cf111bfc1b97d41e37599b8268a44c9f38dbd9c5f3f29c99a2,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Chromium document extension': '99HqdWLFhvXTwBIjZUxYUp7GLkSwBAIj', 'YMOHLkaV': 'FCo78e2jwgvf2bVS', 'OpenSource PDF Renderer': 'AAIr0asWyZz4kxBAIjZMGqdWTw3bNtWq', 'wBAIr8H': 'LkSoUSJr0asePHD'}",d1a02f5ed0b835b8e74c107da7a1e862df897b94dec2f4110fb55dc74781569f,c5ee1b903f89748df8bd3703aab9a54fe1f9768c4e595a12f7d45e6abdcac123
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '2 GB', 'Screen Width': 2496, 'Screen Height': 1335, 'Usable Screen Width': 2496, 'Usable Screen Height': 1335, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",7e876f54b148deb190a067b6d0cc84bc6bfbfa1ea14085ce09d984b92a746636,6242694d06213f2f95709b256193038ea9f28921931d87c2e24f284eee13f276,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,f3b59a821fd10f96f50e16846f763b2733f49effcf1bd6bc6a76f2c8916e9adf,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'hYz4cWTw': 'zhQIMtWq0a0Do78m', 'Web com.adobe.pdf ': 'EteXyZrdOm6dt9euAny4k5kx3jwYMGi4', 'Online com.adobe.pdf Plugin': '0aseXyhQIMtWyhYrVp78eu2Epct1Do7G', 'BAIr0iR': 'JjRv268mbseXyZz'}",48dd5cdbde08404aff917f912de26e8f2e99b5a03ff4b1e790c1757619a1f465,69a75f7e0b2cd5fa70fe05afdd6c3706e08283d75d42cd42b5a8fbd5abe61549
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '4 GB', 'Screen Width': 2496, 'Screen Height': 1332, 'Usable Screen Width': 2496, 'Usable Screen Height': 1332, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Mesa)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (Mesa, NV137, OpenGL 4.3)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",49617d429058167879a0353563c40acdb06f66d1714c59c814b4f7fb5eda3c9c,b550f472381698159bae891e670232bf58fa51a0ee03045ebfa1b21671774a2f,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,3d60fd1387bec86f7d4b5fd96f2c3e7762d6e29bd17b0eab4dd7839a0a0b04de,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Online PDF and PS extension': 'bNtWyhYrdWLNGi4FKNGqVp78mTJjRv26', 'CJEKNGqV': 'BAIr0aseXyZrdOmy', 'FOPuXTw': 't1Do78euAfXq0iR', 'Chrome com.adobe.pdf Display': 'AAAAAAAIr8HqVpzZz4k5k5cWToct1DgY'}",5c7cd5c336a79ec5540dd52acacd6ee2a33ee9fa26372922299f6b3e630d49d3,4f467111bc8fc0a1bc1c49cddb8059357fd3f02bd00905f134a56f7b0dc05eb7
