ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.255.168.25', 'CPU': 6, 'Memory': '0.5 GB', 'Screen Width': 2493, 'Screen Height': 1333, 'Usable Screen Width': 2493, 'Usable Screen Height': 1333, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'vXLNGqVx', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'PHLs9e2b', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",a4ee93eccda7cbc989e4c40f2c71ca0abdd2f6365d0040f512550b8030f7c927,f816dc84b6b2ff22360030365d4893b6273786bcfdef084f6af5dca78f49018b,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,60e1c750ec6325556609982f40ff351d2acebcb8014686819217f6319302eaa8,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'26GDJMt': 'a057dt9mTRQvAfP', 'FGi47dt9': 'nb057laNlxBIr8Hq'}",ee8ba6b7f3154d7a1ecd7b56ecf12cd4ed545a8400108d903b5dd0c7f9b5f45f,7f0f0e78b69f289cf94daeef4d44fbfbd10b48e3a4a23b1167439459ffb7716e
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '0.25 GB', 'Screen Width': 2497, 'Screen Height': 1334, 'Usable Screen Width': 2497, 'Usable Screen Height': 1334, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'CozhQQvA', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Wq8Hi47d', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",663e9995755623c50e2f2fd9561022bbe18cd002911ed4b57eb65b5b96e95013,b236a5867601383414efbf4fb74d18e1c8df74a9694d00444d5154a1d2d41368,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8be1f0ec97b8e1eaaff19368c53d7000e3020d91a943d3f38ca41dc035b0601c,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'AfXq0ase': 'wYMOPufu26GLkaNt', 'Ut1DgQI': 'wYUpzZzCBfXyhYz'}",d4d393cebdb768b4fb706ad11efb59a10b7fea350502067c1d1ae743874d4e4a,6961a9dd64f08a3d0ded791af6887e870807327f9293c61660b21ae12c45aa20
,,"{'IP': '178.255.168.25', 'CPU': 5, 'Memory': '2 GB', 'Screen Width': 2491, 'Screen Height': 1336, 'Usable Screen Width': 2491, 'Usable Screen Height': 1336, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'bwYUxg36', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': '5k5k5kxB', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",6944f361aedf13beb918cb7783ccec1cbf90ae8e9fd67c0f893ae0014ded5d74,e332a7c34e86df904a348751794e1450db5cc27011c2668b06073b18fa12733c,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b53c682901689484273ac7efcd74509974c159cbe8d60b965a0af893b83fc2bb,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'4cOuXLN': 'Fpc1iRvAn6d1iZU', '89Hiwgvf': 'r0iRnTJjRnb0Do78'}",d1015c7e8383b33903f59081c00291d7d9b93eef0fa99dc9e60dd9237c6aec91,6e0e6e6ce86a406b1ddd961c45a7038d0407d7fbf5a96a06a0e6cfb980bd4606
,,"{'IP': '178.255.168.25', 'CPU': 5, 'Memory': '0.5 GB', 'Screen Width': 2494, 'Screen Height': 1333, 'Usable Screen Width': 2494, 'Usable Screen Height': 1333, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': '9HiwYMGq', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'bVKkSw3b', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",2ce7d3af36fce5397c4e17f4445450b0d998978842cd66301a5c878b149011b0,b57e967f2ced09b9f1b80ebdcc0bf1871aa0157691652b63d8610bce27fdc2ab,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8c71047aec06374d7a5d96a4262a296508a02f01132d5c2af941bf0b1fa0c0a6,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'26GLkSo': 'Jr0asWq899Hi47l', 'OToUSRIM': 'r0a057lSw3bVKs15'}",886cbfb1a322b2b51108f7384bb06d685b9df58e7bb6cac40388cf0dd5a731f3,6d59ff6fcb99c3cdc6050069cbe2ba7e743608d4a56a3337ac397f5b78d4959b
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '0.25 GB', 'Screen Width': 2497, 'Screen Height': 1336, 'Usable Screen Width': 2497, 'Usable Screen Height': 1336, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'QQnb0Doz', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'u26GDBny', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",d696de96aa348283e16c6046b637cc314199b066508cea0722e74a0ecb290a2b,e66059cd21abb02b3ebb718459a1d1ab218a566e4fc58d5103b558de9d568208,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,0fb16f2fca2887290836f6229748b499dd9857d755cfccf7a2f84fbd7ab66a25,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'vXTw3j47': 'GDJECozhYzCJEKNO', 'tWyZz4c': '0iZMOPuf2jwgvf2'}",d40142006ccfc3d916e9422ac5620c939077544454e42293e21e237076d77eec,0d1ef46c5f69f060e300fbb177aa728d4b81995c72e56f6fde51991613c50af4
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '0.25 GB', 'Screen Width': 2493, 'Screen Height': 1335, 'Usable Screen Width': 2493, 'Usable Screen Height': 1335, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'IEKFh3Eh', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'MOPuXLNO', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",da11544a20ee75dd516f09abd02d789ef3b950da1dbed8db8d030119a55cf6a1,c3926fb3cb08ab2685e40f2a6439bd3c55e39c33a2e76dedaec8ee6e989f7c14,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cfbdf529023e1f233652d36da242110e614400a446bb360396df0d74209e861d,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'r4cWToUS': 'OTw3bVKs9mTRIMte', 'YzCJMl5': 'Fpc1iZUpzZz4cOu'}",6def957f607cc7da86013c0f7437dd26de59cc26213a5df39803b27dd1094562,97ec6484c0c7e568fea3e966f80ac8e12e04882071e9b2ead331370e93172906
,,"{'IP': '178.255.168.25', 'CPU': 8, 'Memory': '0.25 GB', 'Screen Width': 2493, 'Screen Height': 1332, 'Usable Screen Width': 2493, 'Usable Screen Height': 1332, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'rdOmyCBf', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'hQIMtWyh', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",207807e6e2fa2447bf41b79d9ca9266e3e83e29520498d748b061ed36cae8b70,fe52fddcec22d2809a39d7a0b43ec6a4f60a89efc0b7d30292d0d07023a5b611,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,02227029756fb6ec841c66480f1f826f295ccacfafccccf0ac4cfd962a4a1222,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'5k5kxBIr': 'w7dt9mbsWyhQQnb0', 'KFh36GD': 'GHLs9euAn6d1iRn'}",85b6de6f037b589b34c842db03c8a03e9ca3864157f55fba5305db20eb489769,4d5d4aed75bc08b32be1f83504b0e1dda35ea30ac6664f3b35dbb433ca07af94
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '0.5 GB', 'Screen Width': 2497, 'Screen Height': 1335, 'Usable Screen Width': 2497, 'Usable Screen Height': 1335, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'sWyZzCBf', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': '5gYrVxgv', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",f2029dbb0a1742196bb606be2216b4cee6b0da62c3abd8c6b0ac43e5186c5c41,fcaa2b0ab060c512508f7faa2e9c6fdb163ed71c1b071ca717d63746329198c8,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,df8f483ea00272051bdcf17f37cbe33b4d0ea3d645074f5812e3dd38ba09c1bd,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'DgQIMl5': 'RUpzZrdOuXLFh36', 'FOHLs1Dg': 'fXq89Hi47dt15FKN'}",a0b929765afcc8c49e4abdbcc2d5edb67a9e3cfc4a581410bd4bc6e9532a840b,6670a14d1d5400a0d1a17a8f16c135b7154899456a159ff5186badc8d09f449d
,,"{'IP': '178.255.168.25', 'CPU': 7, 'Memory': '2 GB', 'Screen Width': 2491, 'Screen Height': 1335, 'Usable Screen Width': 2491, 'Usable Screen Height': 1335, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'WLFhvXLF', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'k5cWToct', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",e3ed2b40eb5980ea6fcf97bb75bb79ebfa14d330221e4351cbac263c15f4bc88,d9b5eb5cfcdd7bb83db371e59d50113df5ba01b2cb3f2aa1c0854e44e753f6fa,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5ac816d1a396018d918c1f57b3b21df5853a4efa830bd03a38f2ad7e9791c88e,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'NOPuXTo': '15FKFh3EhvXTwBA', 'asWq899H': 'BIr8Hiwg3Epc1a0D'}",d37d9e0eb0b8c85f652323f6fb4315efb456cb3808a68e563324b7f5ea766492,f247e794a5a22796b10bed242ce62d0a79058228f92182470d45285e012dcb53
,,"{'IP': '178.255.168.25', 'CPU': 7, 'Memory': '0.5 GB', 'Screen Width': 2494, 'Screen Height': 1340, 'Usable Screen Width': 2494, 'Usable Screen Height': 1340, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 64, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'xYMGqdOm', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'bNteXq8H', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",2c609a9e0563a974d158a3391cddee142f270a053613d55f0f9cd2394595d1b1,ad6c2e40f0a9ef1036d970251566c0cdffcc38460e1d932725cad6727d9a0301,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,678ae0a64930999dcfac08152b2983c4a481734292035642f8a8080f4d12d84a,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'3AIr0iZ': 'r899999Hiwg36GD', '2EpUSRIM': 'Vp78e2bNl5cOuXLF'}",2fee7508a1aaac05a4516d7e4c5e38f8d2f67de2bf558b22b484d81c709c6b06,a12f764df2119f99d53fdcf21e2d0f6993896ce204df304a0a6c3ec039ee8900
