ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'MpX6NGcC7nq7q8v1tt+/rdjQEx9gj5YeVXkWvKFx97k=': ['audioinput', 'No label defined']}",93ff46f753697a30314fad10d9110b88391132a06d06ba71f788fce823efa84f,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'wcKZEbgurWnjK2irY0+NwEarpMbJuu8ZN+dMjxWFXAI=': ['audioinput', 'No label defined']}",77bb3aa02bca255642f1ed80995c555b24849fdd0b066e35ad0b654210305691,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'BXqZvwHH1JsEBd2c4LIhMxDKPTMjthBsS9lhZ0RJ24o=': ['audioinput', 'No label defined']}",1e962246660022e72cf4e7db525ac89f84c6b5f9e0aadceb9657db9c72b4ebb7,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'VfL3dz5SmnGrB1RcpMOhA7PjOZ0Pl7tFzvK7akaauyI=': ['audioinput', 'No label defined']}",b4799e53ebb0b109f892453f668308698feed0704b78d55c332e4b5c6709fa84,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'DjeEAsVU9gjI6+nk56JXhJxocMR8tNUx6hdnuHtcPaI=': ['audioinput', 'No label defined']}",71c0c0e45c35ce9f668119a0dd52507720499ea3bfb25fe35c048a7112da4b67,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'vfYWR2UdkC9dGbll+kQ/Uhc37iVNRZbBPXbBr4G+WFM=': ['audioinput', 'No label defined']}",1e2800735b67985695ca1247d0b3a36f98ffb33740da2ed8ca317f6f19dc3050,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'NxCrOBTanJ7m51F6M8PQSp5s6c4gvNRmOku8U7Xe27E=': ['audioinput', 'No label defined']}",d63b678a995ef0b8871eb8cad08dc8798091e5499cc83d27a75212bd8bc22dae,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'oOyCBRh+VRUCroej8XRbhZgwFp5yp0oniOoI/6Q/3Oc=': ['audioinput', 'No label defined']}",36bb22f175b607745403be3d834d15c60b6261e29f372aa2db99e1974a7e8873,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'UwO+k7azUGEvOGOCKt1yuZcwvgjyhkOUbj+cqLFsnTE=': ['audioinput', 'No label defined']}",d5930bbbb27ac4b68b28fbc06319218e91bcc028d10923a4c97868b6997baf79,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': 'undefined GB', 'Screen Width': 2048, 'Screen Height': 1152, 'Usable Screen Width': 2048, 'Usable Screen Height': 1122, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",c323fa4086d9eb8c92dd879b8f0dfcceda174b9e38dd17c85b126c296a0e0fe8,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cad06247c590a85e21c752b10c99e5e84b1a3ca048257f8720bcac3e1be32eb4,"{'Ywk5wjAdux9mwtnk3phVDgwND/HCKv+LSV6jdIJtASQ=': ['audioinput', 'No label defined']}",b15d8402134cff00962bd1d1fb6ac7f96692b5d0540fa3e1757e8b97026ad5e3,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6ff86db2d44035904695aecde5ed0cba0b6199ffa97bafc47d041bb152d10e21
