ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.72.203.77', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 1537, 'Screen Height': 740, 'Usable Screen Width': 1537, 'Usable Screen Height': 740, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",350f180a93ae59af9d8de80e45e91ec529d5b4dd1ac80d4136b2708f35e7cff1,f248e7583480ab93cc602416a1932e6cec09cf1cae357e3651605dfb71bb983d,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b63d01a72f651c8d2f189821a735e5fc9f2b56fd918de6024e90fd8e5fbc0056,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'VpzZz4c': 'QQnbsWq0iRvAfXy', 'RQvAfPHL': 'ZYrVxYUxYUp7GLs9', 'OpenSource document Plugin': 't9e2jwYMGqVxgvf2bNlx3j47d1iRnTRQ', 'Web document ': 'Ds9mTJr899HqVxYMGqVxg36GDBn6laNl'}",a2138aaf9e780d70a5154bdd0d03e55c9d2d99f8a9be7f0f9088d2c560a053f0,3d0fe05aa27a87644974c5816107bc119486da5d22e2a62bca69ddd7b4cb8ed3
,,"{'IP': '178.72.203.77', 'CPU': 5, 'Memory': '2 GB', 'Screen Width': 1537, 'Screen Height': 738, 'Usable Screen Width': 1537, 'Usable Screen Height': 738, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",aac5f2a2a37ad74d8dae0b26846171c40a3c5c00f8662dac6c98743042190265,fba4ec74e229e5e69de0e7896604b7735ceffc18412a75cfbe472b07ce3067d8,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,0d46df9a407c3c787bd19b6ffca611e6bfc3793d6ff7d14f1d7658efe5e8e50d,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'Browser document Plugin': 'bwgvXTw3j4FKNOPufuAny4cWLFpUKs1D', 'y4cWToU': 'pct9eu2Epc1iZMG', 'ct157dt1': 'Mxg36GLkSoc1iRvA', 'doc ': 'iZUxYMGi47lSoc1aseXq8HqVpzhQIMl5'}",5f60fb0fca0513d3aa56758e5c822a77a2322da342beb035df6c3a34dd0223fb,b3e11d4a6487640ce6f64e9d27b4c09eeb87db8f11b338fd2be527672e6edc62
,,"{'IP': '178.72.203.77', 'CPU': 6, 'Memory': '0.5 GB', 'Screen Width': 1540, 'Screen Height': 741, 'Usable Screen Width': 1540, 'Usable Screen Height': 741, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",b6fa5cf9ccc86a7d6dae7cefe70a145a180b12c4e40db3126049bf2a70de5d00,998adca6d9e6282456b7067c989b0590b4c72a211327e490058c5914e80ef1ff,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b2ba3718a36433be94429936540cdf3ce70a531b8a077915bdffc40fdd6d6eb3,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'Portable Document Format Renderer': 'b4FKNOHLs1Do78eu268mb057d1aseXyZ', '1DozhQQ': 'Ir89Hi4FCozhYzC', 'document Plugin': '157lSoUSJr0iRnTJjRv2Epc1iZUp78e2', 'wgvXLFpc': 'p7GDBfPHDJEKNGi4'}",02e4ee1550621ea8d8615a1316426c49964d6fdd71683c9aaf85024534b8b1fc,a4590a343a771fef5a08c73833a769e3e1b4f2322e210b343bf5c58676c5f0b1
,,"{'IP': '178.72.203.77', 'CPU': 6, 'Memory': '0.5 GB', 'Screen Width': 1543, 'Screen Height': 735, 'Usable Screen Width': 1543, 'Usable Screen Height': 735, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",17f7f355ca9236cef3afd8c2c58bbcf48df1399180cfdf710e3cfe0bf4b8a29b,c6e7d9de2fe23d62c13118f570d7a62c8aef910b6f5e70213fce68f3ba16b521,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,634d4d15e8c80281ac718fde5f2574d33f848280fcbe80c63630db5af3a4ff05,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'Brave document Viewer': 'ZUxYUpzhQIEKNOHDBn6lSoUKkSoc1a0D', '0a0DozZr': '57laVSRQvAn6lSoU', 'Online portable-document-format plug-in': 'HqVp7GDJMl5cOufuAfXyZrVxYUxYUp7G', '6h3Epc1': 'bwgvXLFpUKs15FK'}",98faba590a1c361c8a86eecd82274c8608a5a93c4abb110b271f10a019c6c351,783b5f712a19b0fc1a6faaae6d1082942fb3b13dbdca9896b84cc93c1907e39d
,,"{'IP': '178.72.203.77', 'CPU': 6, 'Memory': '4 GB', 'Screen Width': 1539, 'Screen Height': 739, 'Usable Screen Width': 1539, 'Usable Screen Height': 739, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",646ba7a845722e7db82bc4d3ffee9fd0d4d7ee825db5822c2a53295d436d5a91,67416258d11c2141e89ced8dd62c2673f98be53a79a35d7044e4dadfa67770fa,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,4a0dec9a3d4a278fa862b366dab3e77ab2ff1e6a34408897f91d80173ed82b19,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'4kx3bNl5': '9HqVxg3Ehvfu2EpU', 'Brave document Viewer': 'Xq8Hiwg3Epct9e2jwgvXLNOPmy4k5kx3', 'Browser PDF Renderer': '4cWTwBIr0aseXq0a0DgYrdOm6laNteXq', '89Hiwg3': 'd1iRnb057lSoc1a'}",2d469262c66137a9b1b431b77260c2862a1b7a52ecec4edaa783740d7cfeaa1f,c7b9223712e5b840d88af6ba54492ecc0c6fd4d253c8b1bbd6e58f72e4f98fc2
,,"{'IP': '178.72.203.77', 'CPU': 2, 'Memory': '0.5 GB', 'Screen Width': 1539, 'Screen Height': 743, 'Usable Screen Width': 1539, 'Usable Screen Height': 743, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",063922be438f94c142e5d1736fe02009d67f7af252c4c3edee9f722e99c72498,d0d99e6d015a7ae08d5c897253bf60cbdc7d615c32f62240f1175c00a9894839,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,a13a4ad075f0b34558ec18792c64fa76a0206aeb269628b348d7797df2a0a040,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'9eu2Ehv': '1euAn6d1asePPm6', 'Online com.adobe.pdf ': 'd1a057laNteXq8999HqVxYMGqVpzZrdO', 'Brave doc plug-in': 'l5k5cWTwBIjZUxYMOPm6d1iRvAfXyZrd', 'Xq0a0Do7': 'xBIr0asWyhYz4cOu'}",e769de9fbc8091ec8571e24435db940d6a95248eea3671314fffd9b3d2196711,77d001e3783fada96e9d7dfdd9edf6537c093f95f8b97671e72559b684470ecf
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '2 GB', 'Screen Width': 1537, 'Screen Height': 737, 'Usable Screen Width': 1537, 'Usable Screen Height': 737, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",94cb8e3431b2b6b0502b52e744de52035d8a777a2d2234567a183982c2b6d7cf,72fcdeb44c7ddbf57b9b19e0bcd47fbb0c6f0d607a8df3cbba981811b5895198,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6d6079f1f1d015161e419036e00d3b07ffd3fb5fd38d8b022d293018a44b7c3a,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'OpenSource doc extension': '157dt1DgYz4cOmy4cWLNGi47dt1Do78m', 'nTJr8Hiw': 'JMl5cOmyCBnyCBny', 'KRIMteP': 'BEKNOPm6laVKkaN', 'Chromium document plug-in': 'oct1DgYrdOm6lSoct1DgQQnTRQv26GDJ'}",829fe44962196a47cbdd11d3933cef82e64f4afe7c585d36ea4e1188cff44c3f,40bcd943427f21998dbc81b2410a43098e0952915aa6e346bd18c87d86bc3dc8
,,"{'IP': '178.72.203.77', 'CPU': 3, 'Memory': '1 GB', 'Screen Width': 1542, 'Screen Height': 741, 'Usable Screen Width': 1542, 'Usable Screen Height': 741, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",21eea74067d497e4cdd8a4c226b6aa83a2c3c94a2c9eb4a25fcfd203773ee211,8c1f73c14e6357f5707fa12b586eda9a0a21dd10fa7bb127fae5eb2fb96386bb,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,a7250c6f271136c2291c14150c7942acab81175095650f2cc08841d59b018654,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'Brave Portable Document Format Plugin': 'x3bNl5cWToUKkaNlxBIr89Hi47dt1DgY', 'Wq8Hi4FK': '57laVKs9e2bNl5kx', 'Chrome PDF and PS plug-in': 'pgvXLFhvXTw3jwYUxYMOHDBn6laVKs9m', 'MlxBIjR': 'f2bNl5kx3bNlx3b'}",a0f3281601177587fa6a94b36689b1385bcc715c27892164cae84170bfa1ac37,cf4f6647afc1c02526a044ba974dd061702a724a4707e915e189fa3790f19895
,,"{'IP': '178.72.203.77', 'CPU': 5, 'Memory': '1 GB', 'Screen Width': 1539, 'Screen Height': 737, 'Usable Screen Width': 1539, 'Usable Screen Height': 737, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",b44910fc89a367c2c76719d1454eb72eac266c3aaea47d9177737302a470c1a3,51c6c3cfc63af9eaf0f6e291414f37007c4a4e02f9a4b691e65d439418995add,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,08f612ca0194e7e97d2e7d5b1f14c9d3ce39aed128f424e8cb397ba5b274025f,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'r89Hiwg': 'pUKs9eu26GLkaVS', 'OpenSource com.adobe.pdf extension': 'Wq0iZUxYUxg368mb057lSw3j47dt9mbs', 'Brave PDF Viewer': '368e2j47laNlxBIr0asWyZzCJEKNGi47', 'mXLFhvf2': 'zhQQvAfPPm6laVSR'}",c3d0a0d66deece9b2dd5e36329595bd94ce807e2896ed55125984b7c1a1760c9,a91388020f149adbdd2c239b00bc664157ee999106775159b447bf7a87649438
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '0.5 GB', 'Screen Width': 1537, 'Screen Height': 742, 'Usable Screen Width': 1537, 'Usable Screen Height': 742, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",cd2dc310c6be36505ba5226025f4ffe7d33f597d113cea9c8fbd06fbc68500d7,789bd90fb00abb25e71d2338ca87b0830f2ba34e6dd691f9265154896c95d5bc,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8f37b2e6c7f3cb735aca102a44067505a7ce390c9621ab97b5cdd7eaf737dd10,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'JavaScript Portable Document Format Viewer': '8e2bVKs9mbsWyZrVxYUxgvf2jwYMOPm6', 'Brave PDF extension': 'yhYrdWToct9mb057laNl5cOm6laNl5k5', 'USRIMtWq': '8euAn6lSoct1DgQQ', 'uAn6laN': '57d1asePHDBfXq0'}",51cf507a87128bb6e35c33f0eea6905b044d00eb186533d24b4162227a1d1f0d,330f8882af5bfaf5429fd1bb4fab7dcfed0b9b18b6c0e2e7c09b55b2026486c9
