ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.72.203.77', 'CPU': 5, 'Memory': '2 GB', 'Screen Width': 1536, 'Screen Height': 738, 'Usable Screen Width': 1536, 'Usable Screen Height': 738, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'b0DgQIMl', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'VxgvXLNG', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",86ba9d8c56aaeab2e2827e4a0842a1b7391421739ec6fcb5c8bb302b9cb3fe01,3f20446584da26854c2923a6a711933eed116dfad6fb7335c010bfcf632cc195,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c8d39889f0d77b96dc19d5acca75c76d4dde9c76ac486c3354ca097b47f533a1,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'CBfXq0a': 'oUKkaVSRQnbsePP', 'q0a0DgYr': 'Yz4k5kx3j4FCgQIM'}",660461c2394acd159b6320a6a0c33978ef9fc9793883c192188094c2edcc4970,730486922739ee2fc17333007734876efd87bab714e60a2246c1df4b45a7274e
,,"{'IP': '178.72.203.77', 'CPU': 3, 'Memory': '2 GB', 'Screen Width': 1536, 'Screen Height': 743, 'Usable Screen Width': 1536, 'Usable Screen Height': 743, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': '8mTRIECg', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'cOuf2bVS', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",c7319a73cc355b908fde3fd1b8afd6b77be8c209a816878602c56e3493dbb087,b70fd12625599c160f5b5193b1b807a8c334113b15ab410a8d89247a530c6f1a,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,e8b420346a166f3fcc7996b948d5e60928dc6848306fb6b97a03e15acf6ebaeb,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'aZUxYMG': 'c1iZUpzhQQv26GD', 'Vp78mb05': 'Yz4cOuf2j47d1ase'}",dbb0f3a1222e6b0b59ebc154cbe85f0e89f11f99d461c6500297ac15699080d9,2241028488a8561306df168e77d279d5b82090116c876f6399d92260812e5681
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': '4 GB', 'Screen Width': 1540, 'Screen Height': 743, 'Usable Screen Width': 1540, 'Usable Screen Height': 743, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'nTJjZUxg', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Rnb057dt', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",d68cb793575c8fc72689b246da5c08fde0d2ad4af1f4d9c06d2cd95ec937c926,c7dda7799640753a76849b18f270705dabac73d93dd4ef4cd685436a20e521bb,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,41bd80eda2926637601d864d45a06354ea8a16aaaf9f1f525e0c1dbc79b34577,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'BfXq0asW': 'jwg3Eh3Eh3Eh3Eh3', 'U1iZUxY': 'RvAn6lSoUKkSoUS'}",7f3710adbba287f04ea5ed7da5b341de6b21395cac94b6c79c470d1862effd72,6373fe1fb2f4117d38924b04523ba42764af2abb48100ab6a54563ca41d99a90
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '2 GB', 'Screen Width': 1543, 'Screen Height': 742, 'Usable Screen Width': 1543, 'Usable Screen Height': 742, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': '0iZUpzhY', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'g3Eh368m', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",a204a5c21e13d17471710df61e0df06324119bff2a9703ad60e760f62acd0447,74f25a301b344936ab214ede5977e4f3fe0398f40f491c5bbfec8b001ef1f10e,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,83cdb690f95f84b2648e95bfd4ea74e33cf8131317b5db8b9e1a10b3a425afdb,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'2bNteXy': 'ZMGiwgvfu2Eh3Eh', '8euAnyCJ': 'hUKkaNlxBIr0iZMG'}",fd410c937560058dbc487f4b5cdfcffb707d9e34073a5839fc3797690b1e8c61,4e30a516db464a281203c2c00348e92f54096df73357d0208809a1c8e1cad187
,,"{'IP': '178.72.203.77', 'CPU': 6, 'Memory': '1 GB', 'Screen Width': 1538, 'Screen Height': 735, 'Usable Screen Width': 1538, 'Usable Screen Height': 735, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'PHDBfPPm', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'HiwYUpzZ', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",18a391e63c0b4ed40e279150e708b5f089c7b0f13cc1b0e628daeba715ade127,039fd4c704eb3658b422ad6d8a7e0ce337fec28f77185d9441b00f76ad7ac6aa,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,95c6066d3f49525047a029ae79572f6173d83f8c298627b56236cce7b2a145d2,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'bVSRIMlx': 'Do78e2bVKkSwBAIj', 'NKs15FK': 'wYMGqVpzhYrVpzZ'}",59d66bb658c7ed27071c23b346eca0d63909920bf1e750109b6d597ea765d121,d9eff32355762a54f53dfec0008ae2394ae308d1f7c0f43b0bf2996e2cd04f6c
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': '2 GB', 'Screen Width': 1542, 'Screen Height': 738, 'Usable Screen Width': 1542, 'Usable Screen Height': 738, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'rdWLFh36', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'VKs9e2bN', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",c2dad2847560393b15fed501b010019212720f0e8859e55447df6d7e2de2ceae,82ec1fe7488aceebd8ac9018042930d38542b144209a702794e80cdf756ffd6b,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8f66caef4007fb15c29f98e3c5d3abca2f37041d2e3f3ff8067c50d3ca4abd06,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'l5cWToU': 'i47d1iZMOHDBny4', 'x3jwgvf2': 'Fh36GDBfPHLs157l'}",c2c0c5250b0d1e7c0f64e88fd7a102c0cb90a996215d55cf50625c75e25edf80,6d7a170b0d4def69869d1ee7cf16a288dd395f85cab7fd55ee78c3bb855a8419
,,"{'IP': '178.72.203.77', 'CPU': 5, 'Memory': '2 GB', 'Screen Width': 1538, 'Screen Height': 738, 'Usable Screen Width': 1538, 'Usable Screen Height': 738, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'vXLFh368', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'a0DgQQvA', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",0a634f47a7b594e222fa735c6e75fec1635ee35391f450dac62b459a991498c4,2325e94e633a197d583a4c31195aa6152f6b4fd9c6f33fbbe72c11023b2af4f7,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b3d01bb98c374f8a13972a42db42a19016fbd919d3dea744aac5b0cd2fd65b49,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'1mTJjRn': 'LNOHDBfPPuXToc1', 'y4cWTwBA': 'KNOHDBfXq8Hi47lS'}",824092e2bb37dd7e3a4178ed6328f42a08713b00e617eff1fdedee1d115b5365,8ff0b0adcc952a8289267feb4147d414ab0392b4f72d9a216d6db7a20b2816ab
,,"{'IP': '178.72.203.77', 'CPU': 2, 'Memory': '1 GB', 'Screen Width': 1540, 'Screen Height': 740, 'Usable Screen Width': 1540, 'Usable Screen Height': 740, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'NtePHDJE', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'GPuf2bVS', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",f507625f362aeb1e144bb7e4ed748c2a4ad15e65dc8dc060433703f721372d3c,b308331d2461c056fbd29481d2b533a3899c11e1a15f82f799bebe2b07078c82,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,374d02b008f713fa41ddcf976ddd355fdb2b4d21e2b37bbff0191a2de079c217,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'GHDBfXyh': 'Soc1a0DgQIMlx3bV', '0DgYrdO': 'QIMlx3jwYUxg3Ep'}",4fd3422a8a9a8c2d3a04f3e491c655a72befbf990cfd2e928a6274ca565ab7d5,666a236e86df70b22ac58a1210e0d234f6f95b5dac504d35e550177fdeb5ffd0
,,"{'IP': '178.72.203.77', 'CPU': 3, 'Memory': '4 GB', 'Screen Width': 1544, 'Screen Height': 736, 'Usable Screen Width': 1544, 'Usable Screen Height': 736, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'KJjZUp7G', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'HLkaNtWq', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",907276eb7280f0d8f7e066159dde9682046586a27390d78c670c4eb73709f6bc,06667576e807c7f1d473847ddb132573edeefc23184412c6aba91642c55bc300,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,57dc693786b02076af7b9e91258a987656f556356a3fcc4f100ed83a26adf113,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'8DJMtePP': 'i47d1asePHDBn6la', 'KRIMl5k': 'fXyhQIECgQIEKFh'}",2f1a4d01fc7c985373e804f9282138cc9539b0e4e858b411e30bf19e69c0fc66,a23fd98e2c9543b53fddc795ce7443d5efb00e4f14522413bed9c97a81aadc62
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '2 GB', 'Screen Width': 1541, 'Screen Height': 735, 'Usable Screen Width': 1541, 'Usable Screen Height': 735, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'X2j47dt1', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'AIr0iZMO', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",cc89b78462ce2146dd7af7d701769e11584fd1c73d3a8be015494f471bc9d695,623806ff7d0042376c9f7ba6a5a9678df929871b0b87c148e435cc5cf57b9c9d,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,82560c36dc2a1080561f71420d14c282cc4175fa1355d4af4b60f1c71e2887b4,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'v6GLs9m': 'q0iRnTRQvAn6laV', 'NOHDJMlx': 'CBny4cWToUSJr899'}",83981efdcae443294f50d2f84f59d9c5a0657816dc65d9e175f28620dbbf1375,7e34dde7ff55cfab7e70391b2ca5d15079a2940cb19e73dc1f7a2ccfc65c887d
