ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,d8171ed02e48b3be3ba061f6e56be75268f34ded5512c7692cda46713a1c4b08,"{'0gETM9eS09ShXhLQOHWQi8zYLMngf9fm8Q+GMTgBDgE=': ['audioinput', 'No label defined'], 'NqZ6NRme48tBP38NDCqZG8wcu6tXDx+PraaQdpuztWo=': ['videoinput', 'No label defined']}",918bc4a235b08189ce207392ab9e6f15e5c674722139ebaac6e07931755f9c02,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,3c971018dc1e89ed9a5557c7daab6b87d86d97e83376aafab918e3db1d92276b
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,a821a8eea60321602a170f8d447ca3bfc348d1f0e6604db5addb29b21760befb,"{'Qxydk3eM9BDceFK/D3evH4EgYSQmbszCq0XwuQ6Ygyc=': ['audioinput', 'No label defined'], 'EAd9JNbQ151mhTiPK6xFObJT4VnmjqWwdrkYhfpQr9A=': ['videoinput', 'No label defined']}",3caf29312a37c876d428b83a08a7d26fef0eb577c7ec54074d5e2aba7297a10f,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,d2a6338248d3c03e7cf8bebf4a59ca32bd50ba6d76c718289a18874b8778b8b9
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,ab20417ecfe4d27d346a70ba688d7429b813d168dcc4201599ad7e0e9e1a1919,"{'X00vF0g4bXy8F/XJ/Dvg4XMc3+smXhZV6i7BsuCR9UI=': ['audioinput', 'No label defined'], 'IWcxHpKyngyVNoC2xkd8ljkR29kbhFn+EbFRsTuU+mQ=': ['videoinput', 'No label defined']}",7eefcac1002e927027bd41a4dc0a78aa296812c511616559b899154e46457930,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,2c3be437c83f25bc8fddb5ee630aa00e518e8bb7c2181f04462b971cfb529e24
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,7401e12cf6f0b3ea728a7dfd1a58b6050faa1b9808b83ba1f6a0585a5e87e370,"{'T58O1LggWzGwhD9ByWxrzcp1DxNe/7WfDKZby3y6HYM=': ['audioinput', 'No label defined'], 'Ka15qSDrt3Y9zZkGL8V73OX7petiwwndkt225A76YDk=': ['videoinput', 'No label defined']}",2e283228b05c0d4f2f02778734d94ec5038722932b9723ab571412d5a5f41821,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,04bb17cf17558092de396fb6057371b6a2a5b94d05713689a763bc1f6d910347
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,63dd83ed87c7259c03b03c67baa21365707941d76f6c053340ab5bad72bf6cf0,"{'hiLuKrBD1qr0Vdq1gFxeccgBigeZqkwZW0XecexJyQQ=': ['audioinput', 'No label defined'], 'ln+pgdf5s6/8ZUw+urrslAsZmxoESUzR93y4i06juV4=': ['videoinput', 'No label defined']}",9638e757b7d0ccd7a69d0c676270a485d512da8131c54627f3797f02686fb04a,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,2943e264ac3a417c9e60f24e55faf43c3ca31e56562850c0a2086f3dd1de6985
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5eeef7089230370053eb235c68e0e21ea8fec415a71d90b4f94339e2f9c135a8,"{'z4JEfwzZ17o1lvpOdVPd+Noh6mXY9JxnznEKZ9O2rmg=': ['audioinput', 'No label defined'], '1QTYlWMPNJDcpMbAX+Bmp3bI2FgT4h0aZBmLXeKOSrE=': ['videoinput', 'No label defined']}",e436bbb12823eafd6cb6e28c8c56f5daab1aa5988ccb3b5e31f15cdde2be33a3,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,0bdd528b1a288a9a04e9fc50ea6b104256ffc62b4e271a42b9bde2c2503f5938
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,abf673dec3ca9657ddd0d634326b60959652ff279d0cf8a29ec67b9d6ebc6000,"{'zkPjIWHsnaV37vrWz1A2hXINEr1E1FoIByMiI1+9DkM=': ['audioinput', 'No label defined'], 'bz+wbBZ7mVfM1a+HZCpibDAOciHjFbjE51OATMELlG8=': ['videoinput', 'No label defined']}",5374e06ac12fba40e787b7dbaa58cdf334850d2e215715a1fc813f62013e4854,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7ed6c3eff9fcdd425a357bcd6a69178865e50c39c97d3055ff296beb994bbd66
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,94ae25df9d6c3b67578d4fd30c30c3ea2a987616b88057a6138ad80603301eca,"{'NoIlkMJv38bVGnc9wNjNe5pHc300CWpDQF2oynn01iA=': ['audioinput', 'No label defined'], 'e1b99Mcu/020Dv/yeaMg4lYVOnxowb/c1XPW97ffeHM=': ['videoinput', 'No label defined']}",52b0830a44b74559f5a58c751f30ab7342448dd909d2ba2590d6a0aa7415d4c7,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,677f0c855363fef006a3cbfe392570eca3d4b10857337e64e567e247d489a4f4
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5c4b07c592396064f485cfe3cd408735a9213871069a979c13cf632e4ff85249,"{'SCHUIs9r3yXZJ6GW6HSVPS4C1jfH6j9ZIv8pvvA0ZQ0=': ['audioinput', 'No label defined'], 'zSLZcin+qWck0Rd5z5yAHTaVax3AOk6wnuijcLYV32U=': ['videoinput', 'No label defined']}",c887dfc8c2dad24ac27048fb049f88ebb1c86177dfc2a579ecf4fb336d5044f9,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,e3a4a08c8be8d8cfc80f71f7b68e85a742fcddd542e96bc2d4c2e936420fd9a7
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,98726c76b23cc5a950e1b5426905e5f5032686d8aef91c049db442f7137043be,"{'aJFTzw5eov9On86JD0tESFD08fGpVfjydHxw2FnmPEc=': ['audioinput', 'No label defined'], 'IKcjSf8xJtYxaI2k+mMwPkArJ7Lc/1NZ6mIIxyhZIjs=': ['videoinput', 'No label defined']}",bd6eeb7eb867748f6b9eb75cf0ce909319e1e3e12bfee4439335fc75949fcb99,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,d691339bb6d546099dd6686ffc989d4babc08d6a6161efa6706c1952fd2de8e4
