ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'q3eWSM2rM1574IRFJ4r9bf2OyF2VqmOKJs0bhERUMAE=': ['audioinput', 'No label defined'], 'H+NqPxx+VypaURit4BM4JfMAdibGM2NbyFjWLO1Wuvc=': ['videoinput', 'No label defined']}",41019c270cef1c466454acad78796913a9a6f7a2f3b03a1cd5d3ed1e943a4ec9,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,333377f60cbf39fd421052b20fb0ab9efd6215aa9174ebe4dbdeecbbd388685e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'NpW+uVVsuCK5kEycDhcVEx03+hBhEZPNVDTY/WMhSis=': ['audioinput', 'No label defined'], 'ds9REUcAFognHVmsQ29jhL4NDaUQ9uIDsHYB/CTirVY=': ['videoinput', 'No label defined']}",70b268804cea8e78f5f3d9781355955b45c38b6d3bc0460be1e8b749cf233cf8,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'XsuDu9YVb+Xosoto/At0MY5Tmk/EF7MisPdmv4esm4I=': ['audioinput', 'No label defined'], 'N4g19P9Az4SNs18p4727XnMwS2BO10LQ6gs6jNLfezs=': ['videoinput', 'No label defined']}",4b43cf9fd9ab6f350a3b8cfc2fbabbe1422ffb2d4bc89fb85a67ea9679ae327f,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'9l5KKRPIfCZBAvpxOKkhNVx53N1D67dbhJmfzBM7j90=': ['audioinput', 'No label defined'], 'VQbErkSMpih3xcsTCx+OxHS6KBs2Gwme3L/mQOEmvpY=': ['videoinput', 'No label defined']}",b3c344546b9cca4f30f872eec3f63a77141464fb16cca5d252ba98c9a934f8f9,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'GtGowQfv/PciQqgeHngaPz7T+hpkH8wIXN09tuu8fJs=': ['audioinput', 'No label defined'], 'Oa+2D8Lkj+qTFcbX5mdtF6w4u134wf8uBHm5uLaGNfo=': ['videoinput', 'No label defined']}",def87438288c5cf6412b44ac5529141b21670a9303e2c61599fcafe580e39a5b,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'3uX/M/6EhBP+RfPvT10XfTW2z5HOFK5O86SEE1bMeb8=': ['audioinput', 'No label defined'], 'coadNsOmlEld17v7tlZr1o9YeuyEicug+0VyZX/x+q4=': ['videoinput', 'No label defined']}",bbe2b30bbf7de72f2614ecbca93dcca6460a4e1151b95790d0c41ff1862fa7e4,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'WZjSOaatCa5V0fmHP05l4CC53HKeiWhUslAGEfJDmqc=': ['audioinput', 'No label defined'], 'T3GiVzDmHOiYPhgHqmpO4piJk3SRYgXZwAxpYHHkxuo=': ['videoinput', 'No label defined']}",85130eec578510ff4e2869cfae3f8279aa967c218e8860fc1c058917478a0447,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'BwenoM6ePLoTtlcSDfSz0LJc/OC5bDmuECwYvrVsy9w=': ['audioinput', 'No label defined'], 'e3fg+jiF4Kn1luC3C1++ruAB8oLVb61iHQzsopt586c=': ['videoinput', 'No label defined']}",32e8cd1966c36aa7295bea29cdd0a0b0f210112a9ee611e239cf6ee5ed5a4ca7,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'sUiFZGSCMcPnpEa2TpQ3QsyVFitk+PZzNysJM/g6wQ8=': ['audioinput', 'No label defined'], 'SI2brOU3fNhkTpg3RHdJDofPdpoGnny1LD9AGSHc7fo=': ['videoinput', 'No label defined']}",38a413b54ba157844e7f7ca7523b32b7da2417cd004ff356f0bb864ad027613e,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1536, 'Screen Height': 864, 'Usable Screen Width': 1536, 'Usable Screen Height': 816, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (Intel)', 'Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Unmasked Renderer': 'ANGLE (Intel, Intel(R) HD Graphics 400 Direct3D11 vs_5_0 ps_5_0), or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",e1c724f81627555e59dcdc72caad39f3dda1d2e4f5d167c62bddf717e273319d,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,eda3b22fc37192f5d7e86c6ca6debb6db3c1f85d00a678736f42cb7dfc4c1c47,"{'xr4EqGcNvoUmm2zpPICQGB/kOMh4/KJGgou/ngqDefA=': ['audioinput', 'No label defined'], 'p0VVIJOsT/W174s21baLnJX3UUL/SUZ7LVnUyLWWTeA=': ['videoinput', 'No label defined']}",012315a3c8fef5fbb69f8f6b836508447bc3a2eb30d994aa26881bbf52335a22,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6683bb53d01c2ce7b28c56323a71a86c383012b75fc204b592a330078bcf724e
