ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,0218742ada0305f8a3e15464c38e61c814166f5a679ee8d9622b54d0b3eb887d,"{'VPWHO02+RaRpRadlmYNcxSl3rRus4OmDfrZOgrPilgA=': ['audioinput', 'No label defined'], 'Jddw0y1KyAJQ1/vO9G9Grjg5fOVHyb+0m27uNJQlmgI=': ['audioinput', 'No label defined'], 'pKaDCQWd6A0kyweZaZWfcTVHn99EHOCQVaYmvlzbNmQ=': ['videoinput', 'No label defined'], '93vP3he4RO65CrD1gyE0tkpwTx+FGxGMTVAZvXgZFzE=': ['videoinput', 'No label defined']}",f47b5099fdcc331c649c9f050f443ade6d6a7319da1655b2b41a3485f421045c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,9536fb3471fbedfe3b6260e45f4bb02c2573022f22441c0cef1d29d93e64709d
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,9868c1c174641ba6098dd2734382fa8e739edf64f9218763c57fa0ff9b012ec3,"{'DFS1R7qU1eFyiM0qOFqeXcNePDaSsW9YHvW16XDi0fQ=': ['audioinput', 'No label defined'], 'MbNPXB5p/eyCuVDzeJ/VQMl5zXujIp0haC5CBrA1sWA=': ['audioinput', 'No label defined'], 'QRoW1p5mqQDXpbZpJz+myRlUkUBu7bYvJVi/WAt5gL8=': ['videoinput', 'No label defined'], '4XFlsyqOiGgIA+FiJvWeYhEUbdeV3LM0kZ/RgPyZhoI=': ['videoinput', 'No label defined']}",fc2ed579c708735cadf5890bf080de732237651bb50f8da965ac8082f8338096,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,2498ca7e9cca236d42d8031208b29e50fce05f6cd6680473101754318394ec07
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,9607b0ec67ed87ba059d152de028b44902019a62fa0bf417a712397c8b6b85bf,"{'RoRZkx9omWclvEUUE/hX78/3sCZJXLEhNcmLBFCsBn8=': ['audioinput', 'No label defined'], 'YFkX3MLs8K9yzQ7maRgox8CaWClDg0Y74PbO+rIHyvo=': ['audioinput', 'No label defined'], 'RsWoO72CVp9/6yMSJ8SjtGLWO3knoXlTo86eTtgPgDo=': ['videoinput', 'No label defined'], '0KLvK30h+ObPZ43NHIgZz9Tbw8cgiWl+ayG4x/LV8I4=': ['videoinput', 'No label defined']}",c6995bdf3ebe9fc7c2a820ad37889755b9bae2a57c98e70af8cbe1d54be3d56a,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,7d9352582205357ba49f60f152a9144494ab5342f5945b1661294b83aaaf6770
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,f27df04ac8c8b306a6ccef3e36d367065007b3886d2eda5bbf9b99495d662e35,"{'1+4da3wZcEVdldGu6Tu2FhEdUGhfba8rG5Gkbe+auEU=': ['audioinput', 'No label defined'], 'ZZ2F7BnJrdOSgXjcC/EElksBOmtmQE6nsBowH4NVLgw=': ['audioinput', 'No label defined'], '6ykxnArhIRxJ/6S+8YVft872nuMisqUcIWbC941XU0o=': ['videoinput', 'No label defined'], 'ZIg+OFk7YpE47Qms3GBUnAwTn+CDmWTNwzpKqnSUvq4=': ['videoinput', 'No label defined']}",d9b0c4ad62e66d05b4349180411c44c06b57d98b81142abf36266d7a0ad539e0,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,21b6a075499ede87017722e931334869f73596f9c712e41aca4e93838737a35f
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c499045251d54e4adcc8bbe464d654f64f713fa686a226de922dd67c8634c91e,"{'VeId/LZv0mRTrAYq4kvjVK9F1ncc47g69oXwG6UO1jA=': ['audioinput', 'No label defined'], 'DJTAp8wTuyiSrnzkFfHrgJ/ezzP0KeyKfoZAaLHP/bo=': ['audioinput', 'No label defined'], 'mq13/pWYYHbE0NQITeIKUuX5iLNUKTV1DNzgj1kBszQ=': ['videoinput', 'No label defined'], 'w2A7KrGAB2z2TqVXqN5cUEYGBYHWdrtfqJWAcSrpH3U=': ['videoinput', 'No label defined']}",9f7bb862487852c26fd13d34d0b8046b4609a26dc6346e99d999679edec4e657,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,cc66d7fc08014768630e918b87a5898b8fbe54474e7edf70b73e16e1577628f5
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,772dd38608cc66bde455fd695d60cef949a66d7fe2db634b2c57945abb698b01,"{'1neSp2dBpbzKld7ECntH0yPwmKvhX1roaMgQARndP0A=': ['audioinput', 'No label defined'], '3vlgP2YUZr2hnpafjN9OjIu49NktR7G7K4pGopDRYdQ=': ['audioinput', 'No label defined'], 'ZeDkBxko0exgajVkoUYmi/oJBhi50EzJMFi96LQDXzk=': ['videoinput', 'No label defined'], 'le4/amu6GdsT4MngLcaW3x5DSCRc+3zarv7FneeCM6w=': ['videoinput', 'No label defined']}",d2aab5e924466d87ffce624b4fdfbce8b64d276e337079cbde9a5dd9d1df9e3a,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,94c9e1bc3f47938625fd4e7b9139f8e0712129346c77a3b37e19157ffd21e2fd
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,50c10c50e55705bfbdc3338f546700e17a750c862b7461c643958b2787f8dc92,"{'vWBbt0lNVgO3XxTMg0OVyymt7jyt6z6FL39PQ1psXpk=': ['audioinput', 'No label defined'], '1UftMHZQ8QUHGINv6D9ctRKn/yFnn3w8GmAZGVm7TkM=': ['audioinput', 'No label defined'], 'bC/eaI7jCu+XnnPvD+JVG5HGLds5GcX4r3FdCN5hM88=': ['videoinput', 'No label defined'], 'xGaUyqgBbOOGE1HWO2YIAVGN0Nl7Yh3tvsfOK0fduYg=': ['videoinput', 'No label defined']}",096e9c147c02709bc8f5cc4050256a696886f0e64c14010eeab458a31463c785,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,0b39ad11a568afc04343dbaeb457a9be544aa068f944f56881ee377ebf4607b6
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8a144c09da4c34dfac09e3de63ab1a6051703010ba93fcc43bf1adb94734f6d5,"{'OxcAtp7BLItXk/satGbcOotYYNgOaGS6MO22Dt6ghWU=': ['audioinput', 'No label defined'], 'DnBchv3Jo+H8+e7QdGSOX2VcBpEGzo+3EmWCcxj1/lo=': ['audioinput', 'No label defined'], 'FjF98J4LUGwtDXXIPGVGvZCH6agA5gy+XrH8tPRlg/A=': ['videoinput', 'No label defined'], 'FZ155upcchgKKzA1ltB/nY8wOocnUJbE9B/gjLwMhzE=': ['videoinput', 'No label defined']}",7722bdfd051f72cc98ce3ce4056f777d48b819d72d28cf1e77129ea10524c6a5,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,a1739ba6ca254449a2ec55e3a6c084b6ea084acd7679700c5fc77dea713146ac
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,f5832922328485fa922dea4dff43d177d37cc561a51ae0cc8e5ff1a0bd577056,"{'OhnqWzf/I1INysH+Wainq81+23Z18cfg9xVmsN0+xKk=': ['audioinput', 'No label defined'], 'F6bsmr8U9d8y9545rXqVLd1v8hur55NbrIRN3QsJnLU=': ['audioinput', 'No label defined'], 'C6PtQdJb8jSYQbSyUTsz9IR3F76Bb+JqZqw6JlPAQ8o=': ['videoinput', 'No label defined'], 'OEAt4DUaCiUN9GUHQ59e2L5+uPEBcqzk66wZHo27+GI=': ['videoinput', 'No label defined']}",bb65e418287207bc1bef33ce86d2f8f9adb9bf5918434bb66383bed018ff31ed,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,cd04932c7864de20dba1028489c1a244a4f94e0de2c8f90aad97e7cae8a7205a
,,"{'IP': '195.113.242.129', 'CPU': 11, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 950, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Firefox', 'Navigator properties': 44, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'True', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': '', 'Vendor': None, 'Unmasked Vendor': 'Apple', 'Renderer': 'Apple M1, or similar', 'Unmasked Renderer': 'Apple M1, or similar', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0'}",cdcef1602229b8bee14c674e455ef7589c49d4488a815a0b113d286f91cae97e,fd6665b3ecce9f14805c4f8988480f1797ab10e0e2213673348350cf3bc04873,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c661f20a7a90853b1a2b654d35d9fd8eb7a71ad77aa5adcfec726b85fa9f7756,"{'pP1rSOwt+HflIS89hVcWWilx6gteuHdF4Yl63/TeMMg=': ['audioinput', 'No label defined'], 'swIplvrxZc2HhZK3nfqkYg60WiOWS4W+O1NUAr/B7Hs=': ['audioinput', 'No label defined'], 'g+4vskwi9XC0trTzNwUCInlEexo5HKgN4pMtCveKjl0=': ['videoinput', 'No label defined'], 'mtX+w9bqMfvQcpxd7vneWqI2IAJtOs8AZToGk9Zlmyw=': ['videoinput', 'No label defined']}",cdf9c5c60cbbd965c9ba0f73192e8d257c407a7b34362085b40de9d14e892b39,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,411d0ce8d861ee93b6f9d2faa5c627a0cf967f79c42eeb07705a46a1c31bfc09
