ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,6b07e3f823180540a5aaafc9651c36841488d0d5542dced2383980bcdbb75679,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,edcb622eefb03e94706f55ae087cdd9e1a178ae7972c32314c074f85abe70026,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,afd3c2daaa9cb5489864e307bf906cf8f4f6f43ebd6b3b147083d3535b06ad05
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,67f9df44f6d83470a31a33efefb669a7bcc6fdaad29bbcbc157191414b3eb060,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cce35302d330ebcaba63ffcb57e2776770f1d96a7fb95635fe219a729d3d1658,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,833745aa63869de07420e5c360e2edb667968ca3c2d744c4b7e286d1a0ec3c3a
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,cdf50a20b5c1c08812372ebe90ea3147fab7cf9dca05255653494612b32bdf17,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,db2441dac36e23556ae2d076fb7a39478cafda2891f489e07c95e5f2d2877cb6,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,69d8fb434d0dd4856e70329c46de4dbde4fac64ed83019c13a5c269056e42ccb
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,9708d39b545c4705b2d04886f422a68170feef6eb9f9893f94c0c43d86f481ab,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,812831809ee029b62f449b545e2c72814ec8b1e450b3b7ac03ef911a216d2207,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,97aabefb0e9393ade2610abc4554529d6cf1e4a2951ec8e50ca2176480e2489f
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,b3dc77a67e81f8d173324c94430509680e9de5c5833e8e06c6388a90497a8594,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,9cd22039912b0ebe2b5a4b7a21bec7346e413f3785c4caab8738b811fe2f8aaf,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,adb2f95796753dd0b7b03929717f06216c61a0de4356b2e4e9a086460c28945a
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,b085ff55ecefd13d9dce744ea22453bed54d480076143efb35807722159f5fac,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,7fbebd552a33cd966375c2368a59010b8cb33b12838bf81b8d83e84edcf34d6b,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,2dc4de9681c7d90fce05ead95c9d7aa81e1b69af57057d671e56cd74847111ea
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,af15a73a9616c0ea53ada389140e3b095e1f345c467bbbd68caed3c544651e4f,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,68f02f80851e5b38273dbb9da71352314afdede00031e5373fd23041e420b717,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,562ee3a62d39382ea9a531c67f799e83ecb1705e0ff45414c44490f32bc9acdf
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,6e0b8ab3ee2b6da3da27701bbb74b95a9fcd18ca70e7f0f26b1077b31b3eb088,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,e3c8754ecaa7d05cba193de5612fe54b37e68d1c323574201ba4f81a3140cc20,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,6c17278b39328e0a8c120319936597c99417f7d143320542b06523df87442883
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,5f120b586eb695e552a4b142ac8fed465c94a2eff2e01dd5f0300981c9ca0abc,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,2d6b25f92ef77f44d0cbf1696715902574f3b0b24304acf2f948c6547adacff9,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,89b24fc9d6f59d3b124aa97ad99cd7c5675423927cdf8326ff0e63de4adbd4d8
,,"{'IP': '195.113.242.132', 'CPU': 8, 'Memory': 'undefined GB', 'Screen Width': 1512, 'Screen Height': 982, 'Usable Screen Width': 1512, 'Usable Screen Height': 900, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Not available', 'Browser core': 'Safari', 'Navigator properties': 39, 'Browser permissions': [], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Apple Computer, Inc.', 'Vendor': None, 'Unmasked Vendor': 'Apple Inc.', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Apple GPU', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (1.0)'}",fdc974b742da5d3b1af7788fb634acf820a388cc7f2b47582eb6ff15140014fe,1daeba777049c2229515adc106fb2c16aa7ed8a51c9b61731b43f7912de5a913,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5fd7865636d595f9da4e43dd5296cec18a2359346994928f481d7cbc12c97b56,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined']}",8707242eaea897f4ec99033b3c0daf85fcaeb764e3b90eee1aacb03042e84a9c,,"{'PDF Viewer': 'internal-pdf-viewer', 'Chrome PDF Viewer': 'internal-pdf-viewer', 'Chromium PDF Viewer': 'internal-pdf-viewer', 'Microsoft Edge PDF Viewer': 'internal-pdf-viewer', 'WebKit built-in PDF': 'internal-pdf-viewer'}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,3ff0039e29ffa8c302f2e0f125c55c74b6bb0f44ec6995dfc64a82bcbfac6749
