ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",5f90a67df716577b15e468a2e53fdcf5419ffe96df005b448e29854a9740862e,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",a4332bffc56622adaf8ee6398f134f27f059679d7b1f67c1be0870261a30f9b5,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",04308e294cef8857c1979fc57ef03ba431a440d9be99db2469d7aed7d88dafec,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",04308e294cef8857c1979fc57ef03ba431a440d9be99db2469d7aed7d88dafec,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Vendor"": null, ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Mozilla"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""WebGL GLSL ES 1.0""}",193a422446a2369905d940736809b0752c4ebd971605c53c7240579e9127884b,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Version"": ""Not available"", ""Vendor"": ""Not available"", ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Not available"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""Not available""}",dd8bae55b555ca703ccc3ebde4ec0e84d2023fc666bb097460b4b1773f72e436,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Version"": ""Not available"", ""Vendor"": ""Not available"", ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Not available"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""Not available""}",00d141c9289993f15f49acda1ccc1ef7ad4734735edec3816cf6f61753593c36,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Version"": ""Not available"", ""Vendor"": ""Not available"", ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Not available"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""Not available""}",9ecbb21478ab7cb604ea550e2cdcf09febb291e06fb8325ff82b51a91308d225,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Version"": ""Not available"", ""Vendor"": ""Not available"", ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Not available"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""Not available""}",3227f2f2a628bb2c37542006d9b78fbe9821520db59b30b70fc7d00eaaccfef8,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
,,"{""IP"": ""0"", ""CPU"": 2, ""Memory"": ""undefined GB"", ""Screen Width"": 1400, ""Screen Height"": 800, ""Usable Screen Width"": 1400, ""Usable Screen Height"": 800, ""Color Depth"": ""24 bit"", ""Touch Screen"": ""False"", ""Browser name"": ""Not available"", ""Browser core"": ""Firefox"", ""Navigator properties"": 35, ""Browser permissions"": [], ""IndexedDB"": ""Enabled"", ""Open database"": ""Disabled"", ""Local storage"": ""Enabled"", ""Session storage"": ""Enabled"", ""Global Storage"": ""Disabled"", ""PDF Viewer"": ""Enabled"", ""Cookies Enabled"": ""True"", ""Do not track"": ""True"", ""AdBlock"": ""False"", ""Encryption methods"": ""Not available"", ""Navigator Vendor"": """", ""Version"": ""Not available"", ""Vendor"": ""Not available"", ""Unmasked Vendor"": ""Not available"", ""Renderer"": ""Not available"", ""Unmasked Renderer"": ""Not available"", ""Shading Langueage Versions"": ""Not available""}",25c0f2c568bceaf08fa458a2c22d14b9da8166a561f06c0195ec62bbf32d8706,Not available,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6141b5fe3519a291f5f4a906de8afa132f08e047ce4a3231cd739b860ad92239,Not available,0af166cbba19030ba92797c9c019d9027058ef6de778b5b9289ac1d602208c52,Not available,"{""PDF Viewer"": ""internal-pdf-viewer"", ""Chrome PDF Viewer"": ""internal-pdf-viewer"", ""Chromium PDF Viewer"": ""internal-pdf-viewer"", ""Microsoft Edge PDF Viewer"": ""internal-pdf-viewer"", ""WebKit built-in PDF"": ""internal-pdf-viewer""}",903f477f09735a29b6d1be2b4944c5173517c3b1947e30d82c122b5e8557b056,b61adf0fbfa533ceee05efdb367be441c65a9915ed5cf10d25f99375aa240e92
