ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '8 GB', 'Screen Width': 2053, 'Screen Height': 1044, 'Usable Screen Width': 2053, 'Usable Screen Height': 1044, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",d9c8c3a56df4ea7f2561fad9b11409796513121635033ba3c2739f1298778e9b,4357e30503c1aa8946d37be6bb7308727fe56ddf22fef14b182d969889137732,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8686f5db5649c7b12e93f6ddcbe0894557c6c32a1a15db31218b68c513d09761,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'BECozZr': 'dOuXTw3jwYMOPuf', 'JavaScript Portable Document Format Display': 'eXyZrdWLNGqdWLFpUSRQvAfPHLs9mb0D', 'g78e2bVK': '0Do78e2bVSRIMteP', 'Chrome PDF plug in': 'SoUKs15FKNOPuXTw3j4FCo78eu26GLs9'}",978ac89699318953946806be4474d75fbb2119910c5a66a6511c7281c56c4dfd,1f7ba20d6b6414200f53757d55c48551eeeb17589bfc1da153fc9c940556b22b
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '4 GB', 'Screen Width': 2049, 'Screen Height': 1049, 'Usable Screen Width': 2049, 'Usable Screen Height': 1049, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",7013c5a9edb037710f9675c88d0f85dbc949f68a6a8b67f5edbc7849c0b3d285,da3b02647ba577d9671664f9e542c81888fa17f6caa261838a0ef9d23c4103e1,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,a73a2f51aedc566cf6557f0cd0e5306734191ebe4fe5509511cf9af2d397e780,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'gYz4kxBI': 'hvf2jwgvfuAfPPuf', 'Online com.adobe.pdf Display': 'IMlx3bNtWyhQQnTRIMl5kx3bNtWq0iRv', 'RUp7GDJ': 'ubVKkaNl5cOufuA', 'Brave com.adobe.pdf Plugin': 'p7GDBny4kxBIr89999999Hiwg36GDBny'}",03fdaa119f0da2ee46b7cd27d2b6f799d46ac57444aba4480ab392cd19b4f4f4,6c731e9e4380f4bf03fc73490246d0fc0c883934da8c38bdf170a4d5d618bdd2
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '4 GB', 'Screen Width': 2050, 'Screen Height': 1047, 'Usable Screen Width': 2050, 'Usable Screen Height': 1047, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",0a64dd233f5337ffb7b84e7a02945980f1bd6fd5406a6e671bc8f69c2cef70fe,912377c4319572d14e9cd155db5c38fa6b227fcb1e822d334f8677a8084bdaba,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,e6b3b099cbea22a8e4828fe49fd9bd4ab6ba84f1d5f6b2cb1848686fd870dd2c,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'OpenSource PDF plug in': '26GDBfPHDJECozhQIMl5cOm6dt1DgQIM', 'EKFhvfu2': 'YzCBfXq0iZUp7GLs', 'nbseXyh': 'DBfXq89HqVxYMOH', 'Online document Viewer': 'pzhQQvAfXq899HqdWLNGiwg36GDJEKFp'}",ff26f868bf0eb021589bcac027585f44c2b4ff452b68f42abd1488242f2f9c39,807333c6935519f6bbc5fd238fefd3ded55a3794c3ed46fe8fef5c53ad168147
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2051, 'Screen Height': 1047, 'Usable Screen Width': 2051, 'Usable Screen Height': 1037, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",81d94898324456f9c3c6fe1c761e3489bfda9088fbb2d1cb86b391f9575b8963,2b54f50d3bab03bd0bc81e77ccdfe3f088b9968df4df0234514db79b125576e3,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b7d47cde541ab065f6ded66a923af9cfb9892402ba2b2ff9b7ae4d6394436b25,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'portable-document-format Renderer': 'fuAfXyZz4k5k5cWToUKs9mTRQvAfPPuX', 'c5kx3jwY': 'fXyhQIMtePHDBn6d', 'Yvf2bVK': '6pc1iZUpzhQQnTJ', 'Chromium Portable Document Format extension': '68mTRIECgYrVp7GDJMtePHLs157dt9e2'}",dd601585b7f6c6f806e7e78259814cdd6bacc8376545e8fe80128d325a170936,6ee5a3e9e2360baaf018c0a5ac037ecfe4d09f67bc7209c836cd79ff9c8069a8
,,"{'IP': '178.255.168.25', 'CPU': 2, 'Memory': '8 GB', 'Screen Width': 2055, 'Screen Height': 1047, 'Usable Screen Width': 2055, 'Usable Screen Height': 1030, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",13d5b13cf08d49d8754dbd225c955311dfea52871282407d79e53efe01898fa2,043e2268e37af0af2c338b1faa4724a2101a7619be968e68e6eba627bde272f7,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,d68ccf8aa80b805dd83afa3bd187b345cb3409812a76c975acfbe37c8ba00e91,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Online PDF Renderer': 'WLNGi4FKFh3EpUKs9euAny4k5k5cWTw3', 'q0iRnb05': 'AfPPm6d1aseXq0iR', 'Chromium document Renderer': 'Om6lSoct157d1asWq89HqdWLFpUKs9mT', 'vEh368e': 'my4kx3bNtWq0a0D'}",bac70ed702e188c550c8c773fc7f10782e1c33763f0536c012df5e344bc6b8c4,8ada76559882647af9d03e0aa89391cc71a168745365e5f9e8eec876521be0e9
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '1 GB', 'Screen Width': 2051, 'Screen Height': 1043, 'Usable Screen Width': 2051, 'Usable Screen Height': 1030, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",5e1c45eede50cd9382552aa3e041b62ecc603cfac2f86e98b143476c13a6fd94,97d689d6eb714666bbbf67c70d8c2cfe0211a0d89b8e98ad17b9b450b6341106,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,4d4d3d57c164647041648734a51a08b5e32488c9df15688cd68fc95440376ecb,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Brave doc ': 'b0DgYzCBfXyZzCJEKFpct9mTRQnTJjRn', 'EKNOPuf2': 'rCJECo7GDBny4cOu', 'Brave PDF and PS Renderer': 'AfXq0iZMGi4FCozZzCJMlxBIr8Hi4FKN', 'VxgvXLF': 'iVpzhQIECozZz4k'}",a4078d0efdb9bb39ca8dd150a1bd512013cbf980977fb696cf8ec9b38e21fff3,d7355c5492e665024ada0bb9ea1e6c95262c438febffbae4b49af926d7e14120
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 2052, 'Screen Height': 1045, 'Usable Screen Width': 2052, 'Usable Screen Height': 1035, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",81776a1b7aeef38afd4a5cf012344356b2a5b3056cb272acbd32254740f8fc17,1ba6c72e618f87b1b04ba1af5d685150a08ff3cd542e969211eddb97164bf239,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,bd9cca2c2faec8a0e8c688c20d56af13acbeeac7019f1ff18f9ee20da45f70e7,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Web document plug-in': 'OLNOPuf2bNteXq0a05FCgQIMlx3bNteP', '15FCgYz4': 'mXTwBAAIr0a0Do7G', '9eu2EpU': 'myCJEKFhvfu268m', 'PDF Renderer': '6laVSJjZUpzZzCBn6dt1DgYrVxYMOHLk'}",45ecfb3fd872eccf2f3eb47e217387db3aebe7b45b763bedf1717c7867e6b7b8,9f0e9fb59d23bd85f25afabb9bfd561675e1c90e7cd931b99e4d2bc49ff7f296
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2048, 'Screen Height': 1046, 'Usable Screen Width': 2048, 'Usable Screen Height': 1036, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",0be818adb716db5e7ef2997ca0c980859430934773eba78827cc00a768f5f88e,7ff826180b69ae9b0282c673d33ec2e30ba4ef136b706442891dc3f29372ffe5,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5eb6507408433611cba139c1b3ddb24146e4894302e6d747f68bc56273bd4565,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'OpenSource PDF plug-in': 'f6dt157laVSJjRvAfXyZzCBfXyZz4kxB', 'OTwBAIr': 'WyhQQnbseXq0asW', 'PDF and PS Display': '1mb0Do78mbsWq0iRnb05FKNGqVxYUxYU', '8mb0DgYz': 'NtWq0iZMGqVxYUp7'}",6db8713da33f097e91879cac4852665ddef59ed2dfae3548d03f9133c3ae1889,fa7914a62438cb7a24475ac1da9fab649949cd3f3ace094c98403a3050d0bcbb
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '8 GB', 'Screen Width': 2051, 'Screen Height': 1044, 'Usable Screen Width': 2051, 'Usable Screen Height': 1030, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",55bb0d112a20448b758d460185fe85d3fae773de8c59326953e2479089159dfb,fd28e13420da951fa1da988409d7475127f8faadee24f7bc9cbdc4d798e843cd,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5c7c2b9a9b9937cab6e34573f90cf49bcb7dcae5c1d82523e6a99d9526275b41,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'YrVp7GLk': 'MGiwgvf2j47laNlx', 'xBAIr8H': 'Sw3bNtePPmy4cOu', 'JavaScript PDF and PS Renderer': 'qVxgvXLNGqVpzhQIEKNGiwg3Eh368e2j', 'PDF Renderer': 'SJjZUxYUxgvXLNGi4FKNGiwgvfuAnyCB'}",c996ca1d39e8781b2706ba461052b0fa4b0016d71c2f35ce0b63d3fcd85d569d,aad8a6db1475f0119681f99e75b00f34a053b67a8337cc03e5a2f29e2332f08c
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '0.5 GB', 'Screen Width': 2054, 'Screen Height': 1047, 'Usable Screen Width': 2054, 'Usable Screen Height': 1037, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Not A(Brand', 'Navigator properties': 66, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 Ti (0x00001C82) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",d0fa5040ba153d1fdd184e9b10c871ebbb0a2f965362c7da5d61b2359c93aedd,08081d2f24ff3f4ca70ebb2ba6a0eb7b2d96aa4a5e8fc18ceaaa292bc6310bed,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c71135f2ef61ee1464fdf18902eb67ad787afaad4f1b7105e3fb67671644046b,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Web doc Renderer': 'sePHLkaVSRQnTRIMtWq8HqVxYUxYUp7G', 'UpzZrdWL': 'wFCo7GLkSoUSRIEC', 'portable-document-format extension': 'dOufu2Epc1asePHLs9mTRIECozhQIMl5', 'v68mb05': 'TRIMlxBAIjRvAn6'}",5375982501305798ca92f4cee775614baaafa9ca33cf8d2738161925ddf7cc94,945d844b0fea787e5ec024f6ede0c873cf3eacf8f572896396cc77ca0f317368
