ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.255.168.25', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 2049, 'Screen Height': 1044, 'Usable Screen Width': 2049, 'Usable Screen Height': 1044, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'CFpUSRIE', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': '4BfPHDJE', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",941e1387e4d5aae5029f8457ba6d62048247d318f1f3a7d0687acaf10b70885e,2e6f578f67276ac7d659f64c0ecaa15e72c6f2a65f5f103cd4abdebae9ca22f2,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c95dd890f4c6c705662fd7310d5672a8223a45783a2ff38f03071fcf85f90c75,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'IMl5cOm': 'ToUKkSwBIjRnTJj', 'BfXq8999': 'eb0DgYz4kxBAAIjR'}",5196fb17a3b0f493dd729c1e23e54608816e98398a9d8fd8dcee7eccc0607889,160269ec68ed403663f5a7d9aefba4224f7addd39e9a2afbb66fe4063e79fe2b
,,"{'IP': '178.255.168.25', 'CPU': 8, 'Memory': '8 GB', 'Screen Width': 2054, 'Screen Height': 1048, 'Usable Screen Width': 2054, 'Usable Screen Height': 1048, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'kSoUKkSw', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Toct9mTR', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",529fc4c9b44414b87aeee98da69b7cf3b31e654f7215c5f0d995a74b442ae3c6,bfbdc6a69cabf3ee768ec7affb3ae4f53aa0615b8175be24ba9ee2ff71eaca84,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,97c6551778bebb79cef23f6616a33d08f8daedafcb03e86255dc679635b9a95e,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'Zz4cWTo': 'kaVSJjZUxg368mb', 'f2bNl5kx': 'AAAIjZUxg3EpUSJr'}",046706bf0bc239f36fc746f77af1e7e0e16f9560ab137755b95426cb8fdb06d0,8be14888155a2b1f9a6187dea2d624f846b0586d641676257fbccaab3635365b
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '4 GB', 'Screen Width': 2053, 'Screen Height': 1043, 'Usable Screen Width': 2053, 'Usable Screen Height': 1043, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'y4cWTwBA', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'bVSRQnTJ', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",a2ec98c4065499f44399403660b91201d516537ecb1919cb7ff08e1eefedad14,edb2c39ef9996430a233ca1f84962e2f0cd1f83f8ad474b8f1c708e7b34220fe,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,23ac495aba1c7edaf18fa51b2caa207e40efa053637a56501267260561fa3488,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'WLFpUKkS': 't1Do7GDBfPHLkSoc', 'JEKFhvX': 'eTJr89Hi4FCozhQ'}",dee181bb840c8c47e07ca9abd1d03e890a53513f4a298a12f5dd275434d8ae52,d0cb4add8183e8908d2ada5911e7574e460bc2af8f5c2f90ff8c58989d6812e0
,,"{'IP': '178.255.168.25', 'CPU': 8, 'Memory': '0.5 GB', 'Screen Width': 2049, 'Screen Height': 1048, 'Usable Screen Width': 2049, 'Usable Screen Height': 1048, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': '09Hi4FCg', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'fPPuXTw3', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",afdc269eef72ab00edc6b5035294f8a109654332ed243e0aa6c30ae59a3c2386,acda154cec817ce6ca625ab430206f3293438bd8787590a9f5b6328bad83357f,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,81f472dc5546cb5382de07cf2651664edf57c3b55b6f8c3acabd759cbba09d77,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'6lSwBAI': 'j4FKFhvf2jwg36G', 'LNGiwYMG': 'ePHDJECo78e2jwYM'}",eaf3a16647f0257eb470e6c290ceb3438a067476fecfc1abd8e2afd6faec6a83,42fdc045d6a05e0de0006e729babdbae9540174168b5637944756c595958c86c
,,"{'IP': '178.255.168.25', 'CPU': 6, 'Memory': '0.5 GB', 'Screen Width': 2050, 'Screen Height': 1046, 'Usable Screen Width': 2050, 'Usable Screen Height': 1046, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'DozhYrdW', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'QQv268eu', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",a47cac0863ed4ecc1f08917233f2c31537fbb382d412f5d8c200442da16b3897,d80806a749c801ad8d05294ab5d7ea0f24b901de882d008eb5bffb8ae3f7ee4d,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b3470db718de3ae14dfd8b8c09f263762203ed59da3a07b006c62f5ef0bd1fd9,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'bVKs1Do': 'f2bNlxBAIjZUxg3', 'a057dt9e': 'LoUKs1DgQIEKNOHL'}",730d1518feddd978e5d153ae2a7904bf437b6f40f32332674a46611f94390bae,9fea06aab9a7c1e70abf5dab214aeb7e94e5d60c7d9c7a49c4c4ea20c8d5dcc1
,,"{'IP': '178.255.168.25', 'CPU': 8, 'Memory': '0.5 GB', 'Screen Width': 2055, 'Screen Height': 1043, 'Usable Screen Width': 2055, 'Usable Screen Height': 1043, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'v26GLs1D', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'jZUxYMOH', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",b5bb43b3ae7c124b6105ac4f88ccc56e9dd425f9ab3d6d73c1d6bd4b49a233cd,f22850bf16aa970dc2b5b84aa64bd9dc5b21dee9f75e6dc25b3fedaec5642c9e,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,47c055b6700ab50dfb9449bf65c1697ba6111b4be3605a5da988a26efe744e7f,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'yZz4k5c': '6GDJEKFpct1DgYz', 'RUxg36GL': 'mb05FKNOPmyCBfXq'}",f15609f39003c17b75173f65afd8addbad3954f20ba96b8ab469b6c2c00b90e8,b9104984a86f9e78c9fb622064874ea63dba0913d40936798b6f49e6d815d02d
,,"{'IP': '178.255.168.25', 'CPU': 8, 'Memory': '8 GB', 'Screen Width': 2051, 'Screen Height': 1045, 'Usable Screen Width': 2051, 'Usable Screen Height': 1045, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'z8mb057d', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'iRv2EhvX', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",6555bcddb56dc4eced138c04a6f91842b5892a54b431d7fe068d6693da5e44c2,f6d18fc86531a31275ccb3472e27303411a1cbdf40252404b496bc6890a4f278,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,fdd8f4364c14e36ee3c755b3439d32b338f742b8864bb4a81aceb6168cfce68a,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'3IjZUpz': 'bVKkSoc1asePHDJ', 'RMGi47lS': 'jwYUpzZrdWLNGqdW'}",070bdbd1539c69f2016089faea3456075c8accf4a6f160c51c629185a5ed4967,e3c698d512d95cd898b7bf88f09356c124c4c6d9c1bbf2e75f637e641e2fe9a1
,,"{'IP': '178.255.168.25', 'CPU': 7, 'Memory': '0.5 GB', 'Screen Width': 2051, 'Screen Height': 1047, 'Usable Screen Width': 2051, 'Usable Screen Height': 1047, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'b0DozZz4', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'Ls1Do78m', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",c8b24e8251158f21827754f70476a74908f81428fddcddd5b3c07116a35d77a7,706d4035e0d5335109636c00f8e9d5b76c4dceccf664f1694f2d417f733b599f,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,a5838ee8e7ec9276cdcdb807ab83e7c9e95af54fab31618d0241d2cbd6a81752,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'DkaVSJr': 'wYMGiwYUpzZzCBn', 'Y3EpUSJj': 'RUp78mb0DgQQnTJj'}",4039f4ded997bfe3003d419d407a04d63c10c7e3344e9a2907366458da40537f,a03fd525e1d49b3b2ed2208301b21e62acca4c1cd0a2ada1f6f89dadee61cb53
,,"{'IP': '178.255.168.25', 'CPU': 3, 'Memory': '4 GB', 'Screen Width': 2050, 'Screen Height': 1047, 'Usable Screen Width': 2050, 'Usable Screen Height': 1047, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'PHDJMtWy', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'iRvAfXyZ', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",afcf4efb625ef70949ef39a16f111bc8e1da5da849ed0600d3377916f6c06068,8d6611ec3b7ee833c0f30d9666ae54eab9575f8ebac2db900632c1f02160304e,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,ef8d907f8956db3d6d0aac44fbe7c5d08c6fae8a1837e793abe8ac4410e822c2,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'5cWLNOHL': 'vf2bVSJr0iRvAn6l', 'rdWLFpc': '7KNOHDJECgYrVp7'}",be6845890eb2e6b80a671f4b240055c3728af98ece09536d7cfe674a2d9b1123,b0b925cc4e3bb4dcd4e6284b1fe65973bc66112882d9d8db080623658a277cc1
,,"{'IP': '178.255.168.25', 'CPU': 5, 'Memory': '0.5 GB', 'Screen Width': 2051, 'Screen Height': 1046, 'Usable Screen Width': 2051, 'Usable Screen Height': 1046, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'qVp7GLkS', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'PPm6dt9m', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",b1b763eda6ca57532b23a2126b65c393a5317c3c09ac46e91715b9b3e0a72495,7cb8c316f032ea430e9bd1f9c705769193006c191c6905d5d9454641c72dfcae,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,aeaffe620f096df88b4a96b52fca8c85c51e04ca7879dcedbfdca984e6e11500,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined']}",f85de8d0228ba121d5d1debfa4535bf99d72690a208fc3ab601835bf0604084c,,"{'rVxg36G': 'jwYMGi47laNtWq8', 'pzZrdOmy': 'zhQQnb05FCgYrVpz'}",4412d3a8feda6df4796304dae9df711672eeb08014b1bbf5558a9a4c49675535,b9480c7a8b71032d9b7fe546bfa6fcd4746ffce7b7248614d1b19993f5fec30a
