ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.72.203.95', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 1542, 'Screen Height': 738, 'Usable Screen Width': 1542, 'Usable Screen Height': 738, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",c7ba5fcb371e36981ae1cdc0d0dd339ac0d10dc2a7e0d27872a49a07ae9aad29,559b4aab53837f7e96650911a0e5d3e63a683124c669b99adbeb2051eb7ebc51,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,cb0a52898628e0a89d45abbbc551540652a4fc67fd7c0a5c953b0dd9ea4cb529,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'JavaScript document Display': 'LwBIjZMGqVpzZrVxg3Epc1a0DgQQnTJj', 'ECo78e2': 'r8Hi4FCo78e2bVK', 'Online Portable Document Format Plugin': 'w7lSoUKs157d1a057dt1DozhYzCJECo7', 'yCJEKNOP': 'j0aseXq89Hiwgvf2'}",fc15f930ec15dc7ee11b11e1d294acffd39767f5c2efa2ac209f29025b309e99,737fb6dba7bfe547c8160fa45a378bdfd07df098677d60018e3f21868f12a7a5
,,"{'IP': '178.72.203.95', 'CPU': 3, 'Memory': '8 GB', 'Screen Width': 1540, 'Screen Height': 741, 'Usable Screen Width': 1540, 'Usable Screen Height': 741, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",2a07fc1239a92b699d517737cf9269770c0fcf872188bde186e172f1e0b3d6f3,cf8349beb4b040807c2d92eb8adbdcdd99f3b73010540a8ff66daffa01bb296b,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,7dfb5a904059b3478f91462e2eec4f1c767ebbe9fe0a2fe17e49440099bb9d3a,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'Online Portable Document Format Renderer': 'Xq0iZMGqVxg3Eh36GDJMtWyhQIECozZr', 'AIr0a05': '6hvXToUKs1DgYzC', 'dOm6d1iR': 'ZYzCJECozhYrVpzZ', 'JavaScript Portable Document Format extension': 'nb0DozZzCJEKNGi4FCgQQv268euAfXq8'}",a768c983dd0046ea38d6e9808437ccc4c7ec84e01b460b8c3b1df88034e1d738,d8b9d97470d29a63f01011badf86dfb1f1f6049c19e419f391c058e71e2a0cce
,,"{'IP': '178.72.203.95', 'CPU': 5, 'Memory': '8 GB', 'Screen Width': 1539, 'Screen Height': 742, 'Usable Screen Width': 1539, 'Usable Screen Height': 742, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",acf0f879d22fe7840c7ca2f1b061282b13f8aec60b53022376212e193ff7718c,ddb1d4f06c6884c3eab0fa027e5e36e3997e760744bbc2fcc106149fb3c05b46,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,59702afd3e8d3d74eaf6a13d78a587363ba4b94b8a6082b91382e71662f8c778,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'qVxg36G': '7lSw3jwYUxYUxg3', 'Web document extension': 'x3bNtWyZrVxYMGiwg36GDJMtWyhYzCJM', 'j8HqdOuX': 's157dt9e2bVKs157', 'Chromium com.adobe.pdf Viewer': 'RvAfPPuf2jwg36GDBny4cOm6lSoct9eu'}",be40c6325f73db9199c83001f72324323b9fa25da37c04de5094f710dfd57125,fa7434a31ee04020dbeac2e514afba5d91875a85fd2e3f7d95203c99c670601e
,,"{'IP': '178.72.203.95', 'CPU': 8, 'Memory': '8 GB', 'Screen Width': 1537, 'Screen Height': 738, 'Usable Screen Width': 1537, 'Usable Screen Height': 738, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",4cbf97247b0d92b9b8b47b52378361858ccc9926c88a3b7f1de6d47bf51a9bed,eb6b35cc0932b4b9c866133ee55f9d497f61405903eb4c2759abddc9f7ce7105,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c5168ea851940f5469bf02ecd1b43ffec268d7ef39351b2f12404fa13b88968e,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'Web PDF extension': 'pzhYrdWTw3bNlxBIr0iZUpzZrVpzhYrV', 'Browser PDF and PS plug-in': 'SNtWyZrVxg3Epct9mTRQnTRIECozZz4k', 'LNGiwYMG': 'Gi4FKNGqVp78mTRQ', 'KFpUSJr': 'DBfPPuXLFh36GLk'}",7ec70bb0ab6339b1a59124acfa71a78f5f05bb79ab13280a5823594fcd051085,0e61205adda032f205cdb12c77c1a8329d9dcd7c4cdac278f2313b465a594c3f
,,"{'IP': '178.72.203.95', 'CPU': 2, 'Memory': '4 GB', 'Screen Width': 1542, 'Screen Height': 742, 'Usable Screen Width': 1542, 'Usable Screen Height': 742, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",6af2f8577630d30bd53150bb160187d71eabfa72868a03b6bf2147b08ab89ab9,4b154c335d0974b16a0aa41c941535a048ae47c0d953ec39892f06c005e03e63,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,82bd6465dc432343aae58b550475993df7aa6208cb5e76ff8f4ad83cf941bfe8,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'Brave PDF and PS extension': 'pYMGiwYMGqdOuf2jwgvXLFhvXTw3jwg3', 'Online com.adobe.pdf Plugin': '6GLs9e2bNtWq0aseXyhYrVxg3Eh36GDB', 'YUxYMGq': 'oc1iRv2Eh368mb0', '3AAIr0iR': '9mb057dt1DgYzCBf'}",d240a4373dbea9e4cd1bff96ec6eeefbfb93b8dce5cbb1da42114551a2d39065,2668bbc9d5eadeef16b7bd83a855c2dfb10b73054c45360b36e3094a97c9381c
,,"{'IP': '178.72.203.95', 'CPU': 4, 'Memory': '1 GB', 'Screen Width': 1544, 'Screen Height': 736, 'Usable Screen Width': 1544, 'Usable Screen Height': 736, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",467acf6963e75d08546a6623c47b73360768df2331ced48b327fcd203b08dd7f,1889c85e67963f7352e8ab0181a00f248c0b4e7b15f090887be4d66038d5a745,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,785814f3783fe302dde3056e8da9202667d78328751baf58e2cb4695dd8016b8,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'FOPuf2jw': 'p7GDBn6d1a0DgQQn', 'Jr89HqV': 'CNGqVxg368euAny', 'Chromium portable-document-format Viewer': 'YMGqVp78mTJr0iRv26GDBfPPmy4cWToc', 'OpenSource PDF and PS plug in': 'YUpzZzCJEKFpUSJr899HqVpzhYz4cOm6'}",92164686cc4c588f1d56de9488e979f1eebac1f0d407c15ee8f0e2e3241c4d03,a2e55c763758ee6ba8efd5916df52bb44c6593311711f42576193a4cf92f8076
,,"{'IP': '178.72.203.95', 'CPU': 6, 'Memory': '4 GB', 'Screen Width': 1541, 'Screen Height': 741, 'Usable Screen Width': 1541, 'Usable Screen Height': 741, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",db7b8004c9bec137db5c2bdd2052018d6cd945585238a4c378a1baa4b69448f4,b8b3b0f96c2f5d5f4b38353f7a0b888c4283bc2d613a6df9ca358c6784e3aade,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,c7b5a3474f017533bc36ba358e61130b0f2c9b89c8dbaf9a35cacea09669ac42,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'JavaScript Portable Document Format plug in': 'An6lSoct15FCozhQQnbsWq8HiwYMGqdO', '9999Hiwg': 'FCo7GDBfPPuXLFpc', 'EtWyZzC': 'dt1DozhQIMlxBIr', 'Brave PDF Viewer': 'd1a05FCgYrdWLNGqdOm6d1iZUpzZrVxg'}",0feb470983122549dc1c44581606c343381fa3f87522a7fb1a37918915f53d43,6436055953735fe23a8ad29881ffd37e51e91c546abf9b02a967956c8cff0e8e
,,"{'IP': '178.72.203.95', 'CPU': 7, 'Memory': '8 GB', 'Screen Width': 1538, 'Screen Height': 739, 'Usable Screen Width': 1538, 'Usable Screen Height': 739, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",6dc0797905dbfdddcc171aa8055fe29f35e7cb32f2c20149c9262add16456d68,8f4c05f5ab44800593c1ac3ebbb13d78e48906ca9131b3898c99840cea28aef6,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,6165c9a6521224cf6426aab5abd8167693bda5c524d64cd0167e0c232b3713ec,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'JavaScript com.adobe.pdf Renderer': '8Ls9mb05FKNGqdWTw3j4FKFpUKkaVSRI', 'SRQnb0D': 'NSRQv268e2j4FCo', 'XLFpUSJr': 'laNtWq8HiwYUxg3E', 'Online com.adobe.pdf plug-in': 'eXyZrdWTwBIr8999Hiwgvf2jwYMGqdOm'}",0bbf0fc2ce4d5c2cccdbbdf12774f22c68d5cb41d7117cc672caa3a7e2f1e648,92e29d355b8beaf8e3c51a1dff8f8880671c9a80622bee93b2ce0db169b8bca1
,,"{'IP': '178.72.203.95', 'CPU': 7, 'Memory': '8 GB', 'Screen Width': 1541, 'Screen Height': 739, 'Usable Screen Width': 1541, 'Usable Screen Height': 739, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",0b631ae655a8cb467eaa643b5e2b22060258c003eebfc602ddd33ff8e97a4f75,419703ead47fc12e280d7f28fac4c78fd5da36fa1cd0ac70cf172d76de904cd4,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,bcf962542cd2fa9a8ce5f8dc90199fa80f2d47d8ee25973a26b1aa4f5001d488,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'Web portable-document-format Viewer': 'dOmyCJEKFpct9mbseXyZrVp7GDBny4k5', 'Bn6laNlx': 'ta057dt9e2j4FCgY', 'JavaScript doc Display': 'Ir0iRv2Eh3EhvXLFpct157dt157dt9eu', 'WPPm6lS': 'k157d1asWyhYrVp'}",ab96cf4d0c47f6ec094bff2faef52ee1b427ee7d62c0fa8806667f7db70e2738,d9bdd928703a20844e0aeb77d69af9540d705b013dc88509116963fec2230212
,,"{'IP': '178.72.203.95', 'CPU': 7, 'Memory': '2 GB', 'Screen Width': 1543, 'Screen Height': 736, 'Usable Screen Width': 1543, 'Usable Screen Height': 736, 'Color Depth': '24 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 67, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Google Inc. (NVIDIA)', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ANGLE (NVIDIA, NVIDIA GeForce GTX 1050 (0x00001C8D) Direct3D11 vs_5_0 ps_5_0, D3D11)', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",fcff44ec4cb0c7eec5e80e47530db74c5bddc49224e65790bbe2669b097cd619,25c1b059c761f601130dabcca70a1133e283a02fca28025e7911ad962d64410c,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,4586027d97c6709efb06141fb018d2e0b18d12cf6bee2ecc59e0fe8f6f67c8e9,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'JavaScript com.adobe.pdf Renderer': '0iZUpzhQQvAfPHDBfXyZrdWTw3jwg3Ep', '3bNl5kx': 'wBAIjZUp78mTRIE', 'Online document ': 'Jr0a0Do7GDJMlxBAAIr89HiwYMGqdWLF', 'Vp7GDBny': 'WPHLkSoUKkSwBIjR'}",cbae31d930ee0501f48620f176ffd20b1717edcba1c765a14461e87911c0f84f,c99aa5085bd1bbc2fe8ab487d5d8e0a390fac724278258f3bbfd204858ab725a
